,count,mean,std,min,25%,50%,75%,max,best_k_count,best_k_pct
-40,1000.0,3.3514,1.3117,0.3796,2.3798,3.2378,4.192,9.5424,3,0.3
-30,1000.0,5.575,1.8208,1.167,4.2728,5.4326,6.6322,14.0217,0,0.0
-20,1000.0,10.5121,2.5645,3.905,8.6248,10.4953,12.2124,21.7752,0,0.0
-10,1000.0,21.4509,3.7765,10.8332,18.8887,21.221,23.9072,34.8555,0,0.0
-5,1000.0,243.0198,13.9825,202.0383,233.6774,242.926,252.9508,288.1574,0,0.0
-2,1000.0,50.2909,6.7838,33.0147,45.6683,49.9217,54.3514,80.0833,0,0.0
-1,1000.0,256.8873,14.1402,216.7157,246.901,256.883,266.1472,299.6989,0,0.0
1,1000.0,37.8255,4.9025,24.9722,34.52,37.6874,40.9714,55.4192,0,0.0
2,1000.0,244.9831,12.5045,211.6559,236.7783,244.9269,253.8197,284.5711,0,0.0
5,1000.0,15.629,2.9517,7.8564,13.5012,15.7038,17.5618,25.6648,0,0.0
10,1000.0,1.5392,0.7443,0.0425,0.9966,1.4463,1.9473,4.5198,64,6.4
20,1000.0,0.9356,0.5245,-0.0356,0.5369,0.874,1.2309,3.281,316,31.6
30,1000.0,0.8377,0.4848,-0.0356,0.4754,0.7612,1.1255,2.945,341,34.1
40,1000.0,0.8139,0.481,-0.0,0.4633,0.7332,1.0797,3.2327,276,27.6
