,count,mean,std,min,25%,50%,75%,max,best_k_count,best_k_pct
-40,1000.0,4.6106,10.7549,-22.9981,-2.6505,3.8178,11.192,49.4962,3,0.3
-30,1000.0,6.8549,10.9863,-21.1387,-0.3134,5.988,13.6882,54.0368,0,0.0
-20,1000.0,11.8573,11.6878,-17.3243,4.0442,10.9812,19.0012,56.9491,0,0.0
-10,1000.0,22.9412,13.2072,-8.5039,14.1037,22.1968,30.8112,75.2493,0,0.0
-5,1000.0,246.9447,35.7023,141.2422,222.298,244.4704,270.1749,410.1929,0,0.0
-2,1000.0,52.1243,17.0039,8.6375,40.5685,50.5715,62.7258,118.5562,0,0.0
-1,1000.0,260.8798,36.0669,160.3503,236.7721,258.9875,282.1128,420.9674,0,0.0
1,1000.0,39.526,15.2794,1.9807,29.0721,38.0884,48.7968,105.7677,0,0.0
2,1000.0,248.8445,34.4197,151.5886,225.6966,246.6411,269.2844,396.7758,0,0.0
5,1000.0,17.0546,12.4927,-13.8851,8.784,16.2654,24.6692,72.5173,0,0.0
10,1000.0,2.7804,10.5509,-23.939,-4.5215,1.9125,9.196,43.619,64,6.4
20,1000.0,2.1694,10.476,-24.1527,-5.1579,1.182,8.3418,42.6842,316,31.6
30,1000.0,2.0714,10.4751,-24.6293,-5.192,1.1196,8.3141,42.6926,341,34.1
40,1000.0,2.0466,10.4678,-24.6293,-5.2136,1.0899,8.3797,42.6926,276,27.6
